code,date_on,price_cost
002208.SZ,20200828,9.01
300445.SZ,20200827,15.1
300560.SZ,20200826,12.18
603588.SH,20200826,15.6
601018.SH,20200825,3.67
002124.SZ,20200821,17.3
002373.SZ,20200820,20.98
603300.SH,20200820,5.52
000584.SZ,20200818,4.68
300173.SZ,20200818,6.1
300451.SZ,20200817,16.51
002736.SZ,20200814,10.62
600732.SH,20200814,12.11
002129.SZ,20200813,20.18
300401.SZ,20200813,12.68
300496.SZ,20200812,82.36
002856.SZ,20200811,13.28
300659.SZ,20200811,60
603085.SH,20200811,6.31
300618.SZ,20200807,56.8
002384.SZ,20200806,28
600095.SH,20200806,9.39
600489.SH,20200806,9.77
600837.SH,20200805,12.8
300750.SZ,20200804,161
603520.SH,20200804,70.42
300406.SZ,20200803,13.76
600150.SH,20200730,15.44
601375.SH,20200730,4.71
300143.SZ,20200729,7.61
600745.SH,20200727,130.1
600562.SH,20200724,15.63
002797.SZ,20200722,6
600369.SH,20200722,4.9
603818.SH,20200722,6.85
000657.SZ,20200716,5.1
000301.SZ,20200715,4.48
002659.SZ,20200715,4.73
300174.SZ,20200715,13.57
603183.SH,20200713,6.41
300684.SZ,20200710,28.59
300015.SZ,20200709,42.33
600860.SH,20200709,3.41
002724.SZ,20200708,5.89
002600.SZ,20200706,9.31
600561.SH,20200701,4.96
300671.SZ,20200630,22.2
002313.SZ,20200629,18.6
603838.SH,20200624,6.25
600116.SH,20200623,7.76
600703.SH,20200623,17.46
002410.SZ,20200622,50.48
002765.SZ,20200622,3.33
603959.SH,20200622,5.56
002876.SZ,20200619,42.03
600029.SH,20200618,5.21
603960.SH,20200616,21.89
002243.SZ,20200612,10.87
603305.SH,20200609,32.41
300609.SZ,20200605,30.61
603955.SH,20200605,13.46
300655.SZ,20200604,27.83
600499.SH,20200604,3.68
600609.SH,20200604,2.99
601388.SH,20200604,1.38
300563.SZ,20200603,24.01
603986.SH,20200603,203.78
603186.SH,20200527,51.2
300629.SZ,20200525,17.74
002125.SZ,20200522,6.9
002340.SZ,20200522,3.82
600133.SH,20200522,5.28
300601.SZ,20200520,110
002480.SZ,20200518,4.27
002505.SZ,20200518,1.8
603363.SH,20200518,18.39
002142.SZ,20200515,21.07
600517.SH,20200515,5.5
300420.SZ,20200513,5.31
300673.SZ,20200513,22.11
300192.SZ,20200512,13.5
300302.SZ,20200512,9.69
300602.SZ,20200512,42.01
300037.SZ,20200511,34.8
600131.SH,20200508,16.82
601002.SH,20200430,5
300630.SZ,20200429,59.97
002645.SZ,20200428,8.22
300667.SZ,20200428,22.95
300735.SZ,20200428,23.68
002556.SZ,20200424,6.33
600328.SH,20200424,6.58
600746.SH,20200423,5.63
600926.SH,20200423,8.95
600984.SH,20200423,10.82
601009.SH,20200423,7.62
603083.SH,20200421,30.96
603799.SH,20200421,28.09
002612.SZ,20200416,6.78
002602.SZ,20200414,11.47
000952.SZ,20200413,9.59
000948.SZ,20200409,10.73
002240.SZ,20200403,7.61
000953.SZ,20200326,4.64
600026.SH,20200317,6.98
600973.SH,20200220,3.35
600686.SH,20200214,6.49
600764.SH,20200213,26.76
002064.SZ,20200206,5.43
000063.SZ,20200204,30.21
300164.SZ,20200203,4.82
300531.SZ,20200123,14.44
002825.SZ,20200122,11.56
600135.SH,20200122,6.39
600988.SH,20200122,4.69
000757.SZ,20200116,3.98
000905.SZ,20200114,6.37
300623.SZ,20200108,21.18
601872.SH,20200108,5.36
002291.SZ,20200107,5.64
000031.SZ,20200106,6.73
000807.SZ,20200106,4.1
300455.SZ,20191231,7.52
600250.SH,20191231,5.68
000661.SZ,20191230,419.19
603638.SH,20191224,25.49
002915.SZ,20191220,23.54
600136.SH,20191218,8.48
600745.SH,20191218,77.93
600765.SH,20191218,8.53
601619.SH,20191217,3.43
300520.SZ,20191211,16.68
300435.SZ,20191210,10.43
600141.SH,20191210,9.15
300078.SZ,20191209,11.15
002371.SZ,20191206,61.27
300124.SZ,20191206,22.60
000713.SZ,20191205,7.47
603225.SH,20191204,10.64
600848.SH,20191202,23.98
300638.SZ,20191129,54.72
