股票代码,股票简称,现价(元),涨跌幅(%),解禁股类型2020.01.01-2020.12.31,解禁日期2020.01.01-2020.12.31,总解禁股数(股)2020.01.01-2020.12.31,总解禁金额(元)2020.01.01-2020.12.31,解禁成本(元)2020.01.01-2020.12.31
002352.SZ,顺丰控股,87.58,10.00,"首发原股东限售股份,定向增发机构配售股份",20200123,2712788743.00,106395574500.46,31.61
300441.SZ,鲍斯股份,10.16,-2.21,"首发原股东限售股份,定向增发机构配售股份",20200423,312793743.00,2955900871.35,10.33
300603.SZ,立昂技术,17.90,-0.67,"首发原股东限售股份,定向增发机构配售股份",20200203,91238286.00,2620363573.92,19.27
300647.SZ,超频三,11.19,-5.33,"首发原股东限售股份,定向增发机构配售股份",20200506,47509999.00,563468588.14,--
603501.SH,韦尔股份,175.31,1.97,"首发原股东限售股份,定向增发机构配售股份",20200831,606554149.00,106335007861.19,33.95
000066.SZ,中国长城,17.89,0.79,"定向增发机构配售股份,其他类型",20200807,437130484.00,9092314067.20,12.79
002520.SZ,日发精机,7.22,0.28,"定向增发机构配售股份,其他类型",20200205,47532361.00,324646025.63,6.10
002648.SZ,卫星石化,19.95,2.57,"定向增发机构配售股份,股权激励限售股份",20200810,26085080.00,496659923.20,11.38
300271.SZ,华宇软件,27.02,2.31,"定向增发机构配售股份,股权激励限售股份",20200424,62912573.00,1623773509.13,18.80
603883.SH,老百姓,87.00,10.00,"定向增发机构配售股份,股权激励限售股份",20201123,--,--,31.05
000009.SZ,中国宝安,7.74,-0.64,定向增发机构配售股份,20200821,9169999.00,72442992.10,5.05
000028.SZ,国药一致,54.64,4.04,定向增发机构配售股份,20200106,59989270.00,2868086998.70,52.44
000035.SZ,中国天楹,5.30,-0.38,定向增发机构配售股份,20200204,1087214942.00,5392586112.32,5.89
000035.SZ,中国天楹,5.30,-0.38,定向增发机构配售股份,20201023,--,--,5.23
000058.SZ,深赛格,8.76,0.57,定向增发机构配售股份,20200907,--,--,9.71
000065.SZ,北方国际,8.15,2.26,定向增发机构配售股份,20200110,44138217.00,382678341.39,10.52
000100.SZ,TCL科技,6.76,1.65,定向增发机构配售股份,20201225,--,--,2.86
000301.SZ,东方盛虹,5.90,2.79,定向增发机构配售股份,20200902,--,--,4.36
000413.SZ,东旭光电,3.15,0.32,定向增发机构配售股份,20201130,--,--,9.64
000413.SZ,东旭光电,3.15,0.32,定向增发机构配售股份,20201229,--,--,9.02
000426.SZ,兴业矿业,7.53,1.07,定向增发机构配售股份,20200512,3100000.00,15438000.00,6.03
000426.SZ,兴业矿业,7.53,1.07,定向增发机构配售股份,20200616,11109375.00,70877812.50,6.03
000505.SZ,京粮控股,11.39,-0.26,定向增发机构配售股份,20201116,--,--,8.23
000507.SZ,珠海港,5.87,1.03,定向增发机构配售股份,20200518,69060773.00,353591157.76,7.19
000519.SZ,中兵红箭,10.92,2.73,定向增发机构配售股份,20200226,458844907.00,3565224927.39,7.33
000524.SZ,岭南控股,10.60,-0.09,定向增发机构配售股份,20200602,262459618.00,1669243170.48,10.46
000524.SZ,岭南控股,10.60,-0.09,定向增发机构配售股份,20200618,135379061.00,829873643.93,10.46
000537.SZ,广宇发展,7.88,5.63,定向增发机构配售股份,20201030,--,--,6.31
000546.SZ,金圆股份,9.27,0.11,定向增发机构配售股份,20200828,23881773.00,221384035.71,9.98
000547.SZ,航天发展,19.00,2.48,定向增发机构配售股份,20200303,53545828.00,816038418.72,10.69
000547.SZ,航天发展,19.00,2.48,定向增发机构配售股份,20201228,--,--,10.62
000553.SZ,安道麦A,9.27,0.87,定向增发机构配售股份,20200803,1708450759.00,15854423043.52,10.04
000555.SZ,神州信息,17.34,-0.57,定向增发机构配售股份,20200511,22335564.00,346424597.64,24.77
000560.SZ,我爱我家,4.39,-1.13,定向增发机构配售股份,20200526,119681471.00,371012560.10,6.52
000560.SZ,我爱我家,4.39,-1.13,定向增发机构配售股份,20201229,--,--,6.44
000568.SZ,泸州老窖,151.49,6.32,定向增发机构配售股份,20200914,--,--,45.59
000571.SZ,*ST大洲,3.97,-0.50,定向增发机构配售股份,20200214,1500000.00,3765000.00,3.59
000590.SZ,启迪古汉,11.68,-7.08,定向增发机构配售股份,20200527,16140000.00,157849200.00,17.76
000605.SZ,渤海股份,6.70,0.15,定向增发机构配售股份,20200228,79671108.00,450141760.20,11.18
000615.SZ,京汉股份,4.37,-0.46,定向增发机构配售股份,20200608,27980110.00,121993279.60,4.09
000617.SZ,中油资本,7.40,0.82,定向增发机构配售股份,20200116,1757631819.00,20634597555.06,9.67
000617.SZ,中油资本,7.40,0.82,定向增发机构配售股份,20200723,9778839652.00,74808123337.80,6.76
000630.SZ,铜陵有色,2.31,2.21,定向增发机构配售股份,20200120,965889623.00,2231205029.13,2.71
000661.SZ,长春高新,462.94,1.99,定向增发机构配售股份,20201214,--,--,86.71
000661.SZ,长春高新,462.94,1.99,定向增发机构配售股份,20201230,--,--,209.28
000676.SZ,智度股份,8.01,-0.25,定向增发机构配售股份,20200522,347218731.00,2989553273.91,--
000703.SZ,恒逸石化,11.55,3.50,定向增发机构配售股份,20200103,50078264.00,698591782.80,13.68
000703.SZ,恒逸石化,11.55,3.50,定向增发机构配售股份,20200228,213768115.00,2952137668.15,13.47
000703.SZ,恒逸石化,11.55,3.50,定向增发机构配售股份,20201228,--,--,10.17
000708.SZ,中信特钢,17.95,0.96,定向增发机构配售股份,20200921,--,--,5.22
000711.SZ,京蓝科技,3.54,0.57,定向增发机构配售股份,20200320,28460642.00,111281110.22,5.96
000711.SZ,京蓝科技,3.54,0.57,定向增发机构配售股份,20201019,--,--,10.91
000713.SZ,丰乐种业,11.95,0.93,定向增发机构配售股份,20201204,--,--,7.45
000728.SZ,国元证券,10.86,2.26,定向增发机构配售股份,20201102,--,--,9.39
000733.SZ,振华科技,44.84,2.00,定向增发机构配售股份,20200108,45463400.00,841982168.00,10.55
000739.SZ,普洛药业,28.50,2.22,定向增发机构配售股份,20201130,--,--,7.78
000753.SZ,漳州发展,3.05,0.66,定向增发机构配售股份,20200106,107334526.00,328443649.56,5.51
000756.SZ,新华制药,10.53,2.04,定向增发机构配售股份,20201013,--,--,8.31
000810.SZ,创维数字,11.12,0.36,定向增发机构配售股份,20200528,22083862.00,243364159.24,12.00
000813.SZ,德展健康,6.10,-0.49,定向增发机构配售股份,20200108,227485401.00,1417234048.23,6.62
000821.SZ,京山轻机,6.64,0.45,定向增发机构配售股份,20200312,5091428.00,33297939.12,14.09
000826.SZ,启迪环境,8.86,-2.85,定向增发机构配售股份,20200818,234562172.00,2104022682.84,19.25
000829.SZ,天音控股,7.33,0.41,定向增发机构配售股份,20201214,--,--,10.47
000837.SZ,*ST秦机,5.46,2.06,定向增发机构配售股份,20200409,110499048.00,425421334.80,6.57
000851.SZ,高鸿股份,7.69,0.52,定向增发机构配售股份,20201222,--,--,8.25
000861.SZ,海印股份,3.68,3.66,定向增发机构配售股份,20200622,33755600.00,109705700.00,1.68
000875.SZ,吉电股份,4.26,1.19,定向增发机构配售股份,20200106,191996499.00,650868131.61,5.60
000876.SZ,新希望,38.87,3.99,定向增发机构配售股份,20200225,12159930.00,274571219.40,7.68
000877.SZ,天山股份,21.80,0.46,定向增发机构配售股份,20201214,--,--,6.28
000878.SZ,云南铜业,14.59,2.96,定向增发机构配售股份,20200203,225565249.00,2447382951.65,7.48
