code,date_free
002352.SZ,20200123
300441.SZ,20200423
300603.SZ,20200203
300647.SZ,20200506
603501.SH,20200831
000066.SZ,20200807
002520.SZ,20200205
002648.SZ,20200810
300271.SZ,20200424
603883.SH,20201123
000009.SZ,20200821
000028.SZ,20200106
000035.SZ,20200204
000035.SZ,20201023
000058.SZ,20200907
000065.SZ,20200110
000100.SZ,20201225
000301.SZ,20200902
000413.SZ,20201130
000413.SZ,20201229
000426.SZ,20200512
000426.SZ,20200616
000505.SZ,20201116
000507.SZ,20200518
000519.SZ,20200226
000524.SZ,20200602
000524.SZ,20200618
000537.SZ,20201030
000546.SZ,20200828
000547.SZ,20200303
000547.SZ,20201228
000553.SZ,20200803
000555.SZ,20200511
000560.SZ,20200526
000560.SZ,20201229
000568.SZ,20200914
000571.SZ,20200214
000590.SZ,20200527
000605.SZ,20200228
000615.SZ,20200608
000617.SZ,20200116
000617.SZ,20200723
000630.SZ,20200120
000661.SZ,20201214
000661.SZ,20201230
000676.SZ,20200522
000703.SZ,20200103
000703.SZ,20200228
000703.SZ,20201228
000708.SZ,20200921
000711.SZ,20200320
000711.SZ,20201019
000713.SZ,20201204
000728.SZ,20201102
000733.SZ,20200108
000739.SZ,20201130
000753.SZ,20200106
000756.SZ,20201013
000810.SZ,20200528
000813.SZ,20200108
000821.SZ,20200312
000826.SZ,20200818
000829.SZ,20201214
000837.SZ,20200409
000851.SZ,20201222
000861.SZ,20200622
000875.SZ,20200106
000876.SZ,20200225
000877.SZ,20201214
000878.SZ,20200203
000881.SZ,20200410
000882.SZ,20200706
000903.SZ,20201215
000909.SZ,20200122
000923.SZ,20200810
000923.SZ,20200831
000925.SZ,20200716
000925.SZ,20200731
000928.SZ,20200204
000928.SZ,20200318
000950.SZ,20201016
000967.SZ,20200114
000968.SZ,20200206
000968.SZ,20200424
000971.SZ,20200110
000971.SZ,20200615
000971.SZ,20200928
000971.SZ,20201026
000981.SZ,20201109
000993.SZ,20201130
001872.SZ,20201104
001896.SZ,20201027
002002.SZ,20200908
002009.SZ,20200309
002034.SZ,20201215
002040.SZ,20200120
002044.SZ,20201026
002044.SZ,20201118
002047.SZ,20201026
002048.SZ,20201228
002050.SZ,20200918
002053.SZ,20201009
002055.SZ,20200825
002057.SZ,20200713
002057.SZ,20201009
002061.SZ,20201130
002068.SZ,20200730
002084.SZ,20201109
002086.SZ,20201119
002091.SZ,20200113
002094.SZ,20200102
002094.SZ,20200710
002097.SZ,20201013
002101.SZ,20200421
002102.SZ,20200120
002113.SZ,20200114
002113.SZ,20201229
002115.SZ,20200616
002115.SZ,20201228
002121.SZ,20200323
002125.SZ,20201123
002127.SZ,20200424
002128.SZ,20200821
002142.SZ,20201116
002153.SZ,20201221
002160.SZ,20200925
002171.SZ,20200203
002171.SZ,20200331
002171.SZ,20200622
002171.SZ,20201222
002174.SZ,20201218
002188.SZ,20200429
002188.SZ,20200513
002189.SZ,20200413
002191.SZ,20201103
002196.SZ,20200224
002212.SZ,20200221
002225.SZ,20200724
002230.SZ,20200720
002233.SZ,20201027
002235.SZ,20200928
002239.SZ,20200519
002240.SZ,20201009
002240.SZ,20201116
002240.SZ,20201207
002243.SZ,20201214
002243.SZ,20201218
002246.SZ,20201113
002255.SZ,20201229
002265.SZ,20200306
002268.SZ,20200323
002281.SZ,20200427
002282.SZ,20200605
002291.SZ,20200427
002299.SZ,20201106
002301.SZ,20201022
002302.SZ,20201228
002307.SZ,20201201
002313.SZ,20201228
002320.SZ,20200330
002324.SZ,20201211
002340.SZ,20201123
002341.SZ,20200610
002341.SZ,20200729
002343.SZ,20201215
002345.SZ,20200720
002359.SZ,20200601
002369.SZ,20200317
002373.SZ,20200515
002377.SZ,20201023
002382.SZ,20200706
002388.SZ,20200710
002389.SZ,20200921
002396.SZ,20200824
002405.SZ,20200324
002409.SZ,20200106
002410.SZ,20201222
002413.SZ,20200807
002426.SZ,20200910
002430.SZ,20200814
002434.SZ,20201228
002439.SZ,20200120
002439.SZ,20200525
002461.SZ,20200312
002465.SZ,20200706
002478.SZ,20201120
002488.SZ,20200427
002502.SZ,20200109
002526.SZ,20200103
002540.SZ,20201123
002542.SZ,20201228
002544.SZ,20201221
002552.SZ,20200914
002556.SZ,20201026
002560.SZ,20200305
002567.SZ,20200324
002567.SZ,20200831
002582.SZ,20200708
002583.SZ,20201218
002585.SZ,20200420
002586.SZ,20200313
002587.SZ,20200220
002587.SZ,20200804
